PatternID,InterestSent,ResponsesReceived,Nacks,InterestLoss(%),Inconsistency(%),TotalRTT(ms),AverageRTT(ms)
Overall,10000,10000,0,0.000000,0.000000,82282.483027,8.228248,
1,499,499,0,0.000000,0.000000,3507.819771,7.029699
2,450,450,0,0.000000,0.000000,3032.356747,6.738571
3,376,376,0,0.000000,0.000000,2583.701320,6.871546
4,358,358,0,0.000000,0.000000,2700.034933,7.541997
5,318,318,0,0.000000,0.000000,2303.322667,7.243153
6,260,260,0,0.000000,0.000000,1872.346733,7.201334
7,256,256,0,0.000000,0.000000,1907.217193,7.450067
8,234,234,0,0.000000,0.000000,1740.595297,7.438441
9,191,191,0,0.000000,0.000000,1484.668442,7.773133
10,231,231,0,0.000000,0.000000,1733.599535,7.504760
11,220,220,0,0.000000,0.000000,1651.483619,7.506744
12,195,195,0,0.000000,0.000000,1460.408374,7.489274
13,182,182,0,0.000000,0.000000,1451.501559,7.975283
14,172,172,0,0.000000,0.000000,1326.877282,7.714403
15,160,160,0,0.000000,0.000000,1249.606999,7.810044
16,183,183,0,0.000000,0.000000,1421.574148,7.768165
17,147,147,0,0.000000,0.000000,1151.308143,7.832028
18,124,124,0,0.000000,0.000000,1038.098503,8.371762
19,115,115,0,0.000000,0.000000,976.998286,8.495637
20,133,133,0,0.000000,0.000000,1047.568630,7.876456
21,128,128,0,0.000000,0.000000,1044.466931,8.159898
22,118,118,0,0.000000,0.000000,962.510229,8.156866
23,122,122,0,0.000000,0.000000,996.325325,8.166601
24,110,110,0,0.000000,0.000000,897.060695,8.155097
25,92,92,0,0.000000,0.000000,776.107456,8.435951
26,100,100,0,0.000000,0.000000,799.487381,7.994874
27,112,112,0,0.000000,0.000000,975.809007,8.712580
28,118,118,0,0.000000,0.000000,1050.215871,8.900135
29,96,96,0,0.000000,0.000000,802.516399,8.359546
30,76,76,0,0.000000,0.000000,662.293154,8.714384
31,111,111,0,0.000000,0.000000,854.576197,7.698885
32,90,90,0,0.000000,0.000000,786.799883,8.742221
33,89,89,0,0.000000,0.000000,734.133621,8.248692
34,97,97,0,0.000000,0.000000,846.230569,8.724026
35,83,83,0,0.000000,0.000000,706.351732,8.510262
