epoch,shortterm,midterm,longterm
1709559227.292,0.442871,0.135742,0.046387
1709559228.292,0.442871,0.135742,0.046387
1709559229.294,0.407227,0.133301,0.045898
1709559230.292,0.407227,0.133301,0.045898
1709559231.292,0.407227,0.133301,0.045898
1709559232.292,0.407227,0.133301,0.045898
1709559233.292,0.407227,0.133301,0.045898
1709559234.292,0.374512,0.130859,0.045410
1709559235.292,0.374512,0.130859,0.045410
1709559236.292,0.374512,0.130859,0.045410
1709559237.292,0.374512,0.130859,0.045410
1709559238.292,0.374512,0.130859,0.045410
1709559239.292,0.344238,0.128418,0.044922
1709559240.292,0.344238,0.128418,0.044922
1709559241.294,0.344238,0.128418,0.044922
1709559242.293,0.344238,0.128418,0.044922
1709559243.292,0.344238,0.128418,0.044922
1709559244.292,0.477051,0.159668,0.055664
1709559245.292,0.477051,0.159668,0.055664
1709559246.292,0.477051,0.159668,0.055664
1709559247.293,0.477051,0.159668,0.055664
1709559248.292,0.477051,0.159668,0.055664
1709559249.292,0.919434,0.256836,0.087891
1709559250.292,0.919434,0.256836,0.087891
1709559251.293,0.919434,0.256836,0.087891
1709559252.292,0.919434,0.256836,0.087891
1709559253.292,0.919434,0.256836,0.087891
1709559254.293,0.845703,0.252441,0.087402
1709559255.292,0.845703,0.252441,0.087402
1709559256.292,0.845703,0.252441,0.087402
1709559257.292,0.845703,0.252441,0.087402
1709559258.292,0.845703,0.252441,0.087402
1709559259.292,0.777832,0.248047,0.086914
1709559260.293,0.777832,0.248047,0.086914
1709559261.293,0.777832,0.248047,0.086914
1709559262.292,0.777832,0.248047,0.086914
1709559263.292,0.777832,0.248047,0.086914
1709559264.293,0.795898,0.260742,0.092285
1709559265.292,0.795898,0.260742,0.092285
1709559266.292,0.795898,0.260742,0.092285
1709559267.292,0.795898,0.260742,0.092285
1709559268.292,0.795898,0.260742,0.092285
1709559269.292,0.731934,0.256348,0.091309
1709559270.292,0.731934,0.256348,0.091309
1709559271.292,0.731934,0.256348,0.091309
1709559272.293,0.731934,0.256348,0.091309
1709559273.293,0.731934,0.256348,0.091309
1709559274.293,0.672852,0.251953,0.090332
1709559275.294,0.672852,0.251953,0.090332
1709559276.292,0.672852,0.251953,0.090332
1709559277.293,0.672852,0.251953,0.090332
1709559278.292,0.672852,0.251953,0.090332
1709559279.292,0.618652,0.247559,0.089844
1709559280.293,0.618652,0.247559,0.089844
1709559281.294,0.618652,0.247559,0.089844
1709559282.292,0.618652,0.247559,0.089844
1709559283.292,0.618652,0.247559,0.089844
1709559284.292,0.568848,0.243164,0.089355
1709559285.292,0.568848,0.243164,0.089355
1709559286.292,0.568848,0.243164,0.089355
1709559287.292,0.568848,0.243164,0.089355
1709559288.292,0.568848,0.243164,0.089355
1709559289.292,0.522949,0.238770,0.088867
1709559290.292,0.522949,0.238770,0.088867
1709559291.294,0.522949,0.238770,0.088867
1709559292.292,0.522949,0.238770,0.088867
1709559293.292,0.522949,0.238770,0.088867
1709559294.292,0.480957,0.234375,0.088379
1709559295.292,0.480957,0.234375,0.088379
1709559296.292,0.480957,0.234375,0.088379
1709559297.292,0.480957,0.234375,0.088379
1709559298.292,0.480957,0.234375,0.088379
1709559299.292,0.442383,0.230469,0.087891
1709559300.292,0.442383,0.230469,0.087891
1709559301.293,0.442383,0.230469,0.087891
1709559302.292,0.442383,0.230469,0.087891
1709559303.293,0.442383,0.230469,0.087891
1709559304.293,0.406738,0.226562,0.087402
1709559305.292,0.406738,0.226562,0.087402
1709559306.293,0.406738,0.226562,0.087402
1709559307.292,0.406738,0.226562,0.087402
1709559308.292,0.406738,0.226562,0.087402
1709559309.293,0.374023,0.222656,0.086914
1709559310.292,0.374023,0.222656,0.086914
1709559311.293,0.374023,0.222656,0.086914
1709559312.292,0.374023,0.222656,0.086914
1709559313.292,0.374023,0.222656,0.086914
1709559314.292,0.343750,0.218750,0.086426
1709559315.294,0.343750,0.218750,0.086426
1709559316.293,0.343750,0.218750,0.086426
1709559317.292,0.343750,0.218750,0.086426
1709559318.292,0.343750,0.218750,0.086426
1709559319.292,0.315918,0.214844,0.085938
1709559320.292,0.315918,0.214844,0.085938
1709559321.293,0.315918,0.214844,0.085938
1709559322.292,0.315918,0.214844,0.085938
1709559323.292,0.315918,0.214844,0.085938
1709559324.292,0.290527,0.210938,0.085449
1709559325.292,0.290527,0.210938,0.085449
1709559326.294,0.290527,0.210938,0.085449
