epoch,shortterm,midterm,longterm
1708317542.269,0.442871,0.135742,0.046387
1708317543.269,0.442871,0.135742,0.046387
1708317544.270,0.487793,0.150391,0.051758
1708317545.269,0.487793,0.150391,0.051758
1708317546.269,0.487793,0.150391,0.051758
1708317547.270,0.487793,0.150391,0.051758
1708317548.269,0.487793,0.150391,0.051758
1708317549.269,0.529297,0.164551,0.057129
1708317550.269,0.529297,0.164551,0.057129
1708317551.269,0.529297,0.164551,0.057129
1708317552.269,0.529297,0.164551,0.057129
1708317553.270,0.529297,0.164551,0.057129
1708317554.269,0.486816,0.161621,0.056641
1708317555.269,0.486816,0.161621,0.056641
1708317556.269,0.486816,0.161621,0.056641
1708317557.272,0.486816,0.161621,0.056641
1708317558.270,0.486816,0.161621,0.056641
1708317559.269,0.447754,0.158691,0.056152
1708317560.269,0.447754,0.158691,0.056152
1708317561.269,0.447754,0.158691,0.056152
1708317562.269,0.447754,0.158691,0.056152
1708317563.269,0.447754,0.158691,0.056152
1708317564.269,0.492188,0.172852,0.061523
1708317565.270,0.492188,0.172852,0.061523
1708317566.269,0.492188,0.172852,0.061523
1708317567.269,0.492188,0.172852,0.061523
1708317568.269,0.492188,0.172852,0.061523
1708317569.269,0.533203,0.187012,0.066895
1708317570.269,0.533203,0.187012,0.066895
1708317571.269,0.533203,0.187012,0.066895
1708317572.269,0.533203,0.187012,0.066895
1708317573.269,0.533203,0.187012,0.066895
1708317574.269,0.650879,0.217285,0.077637
1708317575.269,0.650879,0.217285,0.077637
1708317576.269,0.650879,0.217285,0.077637
1708317577.270,0.650879,0.217285,0.077637
1708317578.269,0.650879,0.217285,0.077637
1708317579.271,0.598633,0.213379,0.077148
1708317580.269,0.598633,0.213379,0.077148
1708317581.269,0.598633,0.213379,0.077148
1708317582.269,0.598633,0.213379,0.077148
1708317583.269,0.598633,0.213379,0.077148
1708317584.269,0.550293,0.209473,0.076660
1708317585.269,0.550293,0.209473,0.076660
1708317586.269,0.550293,0.209473,0.076660
1708317587.269,0.550293,0.209473,0.076660
1708317588.269,0.550293,0.209473,0.076660
1708317589.269,0.505859,0.205566,0.076172
1708317590.269,0.505859,0.205566,0.076172
1708317591.269,0.505859,0.205566,0.076172
1708317592.269,0.505859,0.205566,0.076172
1708317593.269,0.505859,0.205566,0.076172
1708317594.269,0.465332,0.202148,0.075684
1708317595.269,0.465332,0.202148,0.075684
1708317596.269,0.465332,0.202148,0.075684
1708317597.269,0.465332,0.202148,0.075684
1708317598.269,0.465332,0.202148,0.075684
1708317599.269,0.427734,0.198730,0.075195
1708317600.269,0.427734,0.198730,0.075195
1708317601.270,0.427734,0.198730,0.075195
1708317602.269,0.427734,0.198730,0.075195
1708317603.269,0.427734,0.198730,0.075195
1708317604.269,0.393066,0.195312,0.074707
1708317605.269,0.393066,0.195312,0.074707
1708317606.269,0.393066,0.195312,0.074707
1708317607.269,0.393066,0.195312,0.074707
1708317608.269,0.393066,0.195312,0.074707
1708317609.269,0.361328,0.191895,0.074219
1708317610.270,0.361328,0.191895,0.074219
1708317611.269,0.361328,0.191895,0.074219
1708317612.269,0.361328,0.191895,0.074219
1708317613.269,0.361328,0.191895,0.074219
1708317614.269,0.332031,0.188477,0.073730
1708317615.270,0.332031,0.188477,0.073730
1708317616.270,0.332031,0.188477,0.073730
1708317617.270,0.332031,0.188477,0.073730
1708317618.269,0.332031,0.188477,0.073730
1708317619.269,0.305176,0.185059,0.073242
1708317620.269,0.305176,0.185059,0.073242
1708317621.269,0.305176,0.185059,0.073242
1708317622.269,0.305176,0.185059,0.073242
1708317623.269,0.305176,0.185059,0.073242
1708317624.269,0.280273,0.181641,0.072754
1708317625.269,0.280273,0.181641,0.072754
1708317626.270,0.280273,0.181641,0.072754
1708317627.269,0.280273,0.181641,0.072754
1708317628.269,0.280273,0.181641,0.072754
1708317629.269,0.257812,0.178223,0.072266
1708317630.269,0.257812,0.178223,0.072266
1708317631.270,0.257812,0.178223,0.072266
1708317632.271,0.257812,0.178223,0.072266
1708317633.269,0.257812,0.178223,0.072266
1708317634.271,0.236816,0.174805,0.071777
1708317635.269,0.236816,0.174805,0.071777
1708317636.269,0.236816,0.174805,0.071777
1708317637.269,0.236816,0.174805,0.071777
1708317638.269,0.236816,0.174805,0.071777
1708317639.269,0.217773,0.171875,0.071289
1708317640.269,0.217773,0.171875,0.071289
1708317641.269,0.217773,0.171875,0.071289
1708317642.269,0.217773,0.171875,0.071289
1708317643.269,0.217773,0.171875,0.071289
1708317644.269,0.200195,0.168945,0.070801
1708317645.269,0.200195,0.168945,0.070801
1708317646.269,0.200195,0.168945,0.070801
1708317647.269,0.200195,0.168945,0.070801
1708317648.269,0.200195,0.168945,0.070801
1708317649.269,0.184082,0.166016,0.070312
1708317650.269,0.184082,0.166016,0.070312
1708317651.269,0.184082,0.166016,0.070312
1708317652.269,0.184082,0.166016,0.070312
1708317653.269,0.184082,0.166016,0.070312
1708317654.269,0.168945,0.163086,0.069824
1708317655.270,0.168945,0.163086,0.069824
1708317656.269,0.168945,0.163086,0.069824
1708317657.269,0.168945,0.163086,0.069824
1708317658.269,0.168945,0.163086,0.069824
1708317659.269,0.155273,0.160156,0.069336
1708317660.269,0.155273,0.160156,0.069336
1708317661.269,0.155273,0.160156,0.069336
1708317662.269,0.155273,0.160156,0.069336
1708317663.270,0.155273,0.160156,0.069336
1708317664.269,0.142578,0.157227,0.068848
1708317665.269,0.142578,0.157227,0.068848
1708317666.270,0.142578,0.157227,0.068848
1708317667.271,0.142578,0.157227,0.068848
1708317668.271,0.142578,0.157227,0.068848
1708317669.269,0.130859,0.154297,0.068359
1708317670.269,0.130859,0.154297,0.068359
1708317671.269,0.130859,0.154297,0.068359
1708317672.269,0.130859,0.154297,0.068359
1708317673.269,0.130859,0.154297,0.068359
1708317674.269,0.120117,0.151367,0.067871
1708317675.269,0.120117,0.151367,0.067871
1708317676.269,0.120117,0.151367,0.067871
1708317677.269,0.120117,0.151367,0.067871
1708317678.270,0.120117,0.151367,0.067871
1708317679.269,0.110352,0.148438,0.067383
1708317680.271,0.110352,0.148438,0.067383
1708317681.269,0.110352,0.148438,0.067383
1708317682.269,0.110352,0.148438,0.067383
1708317683.269,0.110352,0.148438,0.067383
1708317684.269,0.101074,0.145508,0.066895
1708317685.269,0.101074,0.145508,0.066895
1708317686.269,0.101074,0.145508,0.066895
1708317687.269,0.101074,0.145508,0.066895
1708317688.270,0.101074,0.145508,0.066895
1708317689.270,0.092773,0.143066,0.066406
1708317690.269,0.092773,0.143066,0.066406
1708317691.269,0.092773,0.143066,0.066406
1708317692.269,0.092773,0.143066,0.066406
1708317693.270,0.092773,0.143066,0.066406
1708317694.269,0.084961,0.140625,0.065918
1708317695.269,0.084961,0.140625,0.065918
1708317696.269,0.084961,0.140625,0.065918
1708317697.270,0.084961,0.140625,0.065918
1708317698.269,0.084961,0.140625,0.065918
1708317699.269,0.078125,0.138184,0.065430
1708317700.269,0.078125,0.138184,0.065430
1708317701.269,0.078125,0.138184,0.065430
1708317702.270,0.078125,0.138184,0.065430
1708317703.269,0.078125,0.138184,0.065430
1708317704.269,0.071777,0.135742,0.064941
1708317705.269,0.071777,0.135742,0.064941
1708317706.269,0.071777,0.135742,0.064941
1708317707.269,0.071777,0.135742,0.064941
1708317708.269,0.071777,0.135742,0.064941
1708317709.269,0.065918,0.133301,0.064453
1708317710.269,0.065918,0.133301,0.064453
1708317711.269,0.065918,0.133301,0.064453
1708317712.269,0.065918,0.133301,0.064453
1708317713.269,0.065918,0.133301,0.064453
1708317714.269,0.060547,0.130859,0.063965
1708317715.269,0.060547,0.130859,0.063965
1708317716.269,0.060547,0.130859,0.063965
1708317717.269,0.060547,0.130859,0.063965
1708317718.270,0.060547,0.130859,0.063965
1708317719.269,0.055664,0.128418,0.063477
1708317720.269,0.055664,0.128418,0.063477
1708317721.269,0.055664,0.128418,0.063477
1708317722.269,0.055664,0.128418,0.063477
1708317723.269,0.055664,0.128418,0.063477
1708317724.269,0.050781,0.125977,0.062988
1708317725.269,0.050781,0.125977,0.062988
1708317726.269,0.050781,0.125977,0.062988
1708317727.271,0.050781,0.125977,0.062988
1708317728.269,0.050781,0.125977,0.062988
1708317729.269,0.046387,0.123535,0.062500
1708317730.269,0.046387,0.123535,0.062500
