PatternID,InterestSent,ResponsesReceived,Nacks,InterestLoss(%),Inconsistency(%),TotalRTT(ms),AverageRTT(ms)
Overall,10000,10000,0,0.000000,0.000000,64440.823454,6.444082,
1,579,579,0,0.000000,0.000000,2802.315332,4.839923
2,448,448,0,0.000000,0.000000,2193.946514,4.897202
3,410,410,0,0.000000,0.000000,2042.693622,4.982180
4,315,315,0,0.000000,0.000000,1636.063561,5.193853
5,312,312,0,0.000000,0.000000,1607.814717,5.153252
6,283,283,0,0.000000,0.000000,1472.281010,5.202406
7,263,263,0,0.000000,0.000000,1395.820219,5.307301
8,250,250,0,0.000000,0.000000,1318.316128,5.273265
9,201,201,0,0.000000,0.000000,1125.348661,5.598750
10,216,216,0,0.000000,0.000000,1186.720323,5.494076
11,188,188,0,0.000000,0.000000,1058.810142,5.631969
12,169,169,0,0.000000,0.000000,977.088838,5.781591
13,176,176,0,0.000000,0.000000,997.752156,5.669046
14,166,166,0,0.000000,0.000000,948.996723,5.716848
15,142,142,0,0.000000,0.000000,848.766766,5.977231
16,160,160,0,0.000000,0.000000,934.631342,5.841446
17,140,140,0,0.000000,0.000000,852.565568,6.089754
18,145,145,0,0.000000,0.000000,844.004855,5.820723
19,144,144,0,0.000000,0.000000,878.953474,6.103844
20,135,135,0,0.000000,0.000000,814.359662,6.032294
21,119,119,0,0.000000,0.000000,764.550219,6.424792
22,138,138,0,0.000000,0.000000,850.957825,6.166361
23,105,105,0,0.000000,0.000000,697.976356,6.647394
24,117,117,0,0.000000,0.000000,733.568356,6.269815
25,121,121,0,0.000000,0.000000,751.116979,6.207578
26,99,99,0,0.000000,0.000000,648.196228,6.547437
27,95,95,0,0.000000,0.000000,631.931845,6.651914
28,102,102,0,0.000000,0.000000,685.269267,6.718326
29,106,106,0,0.000000,0.000000,697.110261,6.576512
30,107,107,0,0.000000,0.000000,694.040722,6.486362
31,95,95,0,0.000000,0.000000,640.425991,6.741326
32,85,85,0,0.000000,0.000000,594.534514,6.994524
33,107,107,0,0.000000,0.000000,707.427852,6.611475
34,76,76,0,0.000000,0.000000,532.300252,7.003951
35,71,71,0,0.000000,0.000000,514.738725,7.249841
36,85,85,0,0.000000,0.000000,602.489489,7.088112
37,72,72,0,0.000000,0.000000,530.190147,7.363752
38,85,85,0,0.000000,0.000000,582.094464,6.848170
39,95,95,0,0.000000,0.000000,632.248122,6.655243
40,90,90,0,0.000000,0.000000,605.983041,6.733145
41,79,79,0,0.000000,0.000000,581.659798,7.362782
42,73,73,0,0.000000,0.000000,542.850542,7.436309
43,83,83,0,0.000000,0.000000,596.454866,7.186203
44,78,78,0,0.000000,0.000000,564.487728,7.237022
45,59,59,0,0.000000,0.000000,468.650000,7.943220
46,67,67,0,0.000000,0.000000,508.840508,7.594634
47,73,73,0,0.000000,0.000000,517.549020,7.089713
48,62,62,0,0.000000,0.000000,495.610121,7.993712
49,68,68,0,0.000000,0.000000,501.154031,7.369912
50,72,72,0,0.000000,0.000000,530.787785,7.372053
51,58,58,0,0.000000,0.000000,458.900259,7.912073
52,56,56,0,0.000000,0.000000,435.828195,7.782646
53,60,60,0,0.000000,0.000000,458.472427,7.641207
54,56,56,0,0.000000,0.000000,473.297028,8.451733
55,79,79,0,0.000000,0.000000,565.526070,7.158558
56,64,64,0,0.000000,0.000000,481.516067,7.523689
57,67,67,0,0.000000,0.000000,511.346151,7.632032
58,54,54,0,0.000000,0.000000,433.593673,8.029512
59,70,70,0,0.000000,0.000000,511.525209,7.307503
60,61,61,0,0.000000,0.000000,470.268850,7.709325
61,70,70,0,0.000000,0.000000,491.084829,7.015498
62,42,42,0,0.000000,0.000000,365.411012,8.700262
63,61,61,0,0.000000,0.000000,474.866803,7.784702
64,59,59,0,0.000000,0.000000,452.548851,7.670320
65,58,58,0,0.000000,0.000000,427.573664,7.371960
66,53,53,0,0.000000,0.000000,401.555219,7.576514
67,60,60,0,0.000000,0.000000,450.754156,7.512569
68,47,47,0,0.000000,0.000000,407.553221,8.671345
69,47,47,0,0.000000,0.000000,386.149501,8.215947
70,51,51,0,0.000000,0.000000,415.259420,8.142342
71,41,41,0,0.000000,0.000000,346.599129,8.453637
72,52,52,0,0.000000,0.000000,420.644600,8.089319
73,40,40,0,0.000000,0.000000,366.869692,9.171742
74,40,40,0,0.000000,0.000000,367.818191,9.195455
75,57,57,0,0.000000,0.000000,452.507286,7.938724
76,52,52,0,0.000000,0.000000,403.059742,7.751149
77,39,39,0,0.000000,0.000000,323.855588,8.303989
78,45,45,0,0.000000,0.000000,365.287873,8.117508
79,41,41,0,0.000000,0.000000,350.713856,8.553996
80,45,45,0,0.000000,0.000000,378.805614,8.417903
81,40,40,0,0.000000,0.000000,352.582777,8.814569
82,44,44,0,0.000000,0.000000,380.179112,8.640434
83,51,51,0,0.000000,0.000000,419.807943,8.231528
84,40,40,0,0.000000,0.000000,350.095828,8.752396
85,40,40,0,0.000000,0.000000,331.157498,8.278937
86,33,33,0,0.000000,0.000000,302.566823,9.168692
87,45,45,0,0.000000,0.000000,367.805016,8.173445
88,53,53,0,0.000000,0.000000,406.828811,7.676015
89,43,43,0,0.000000,0.000000,361.658858,8.410671
90,47,47,0,0.000000,0.000000,414.796068,8.825448
91,35,35,0,0.000000,0.000000,303.163341,8.661810
92,49,49,0,0.000000,0.000000,427.028561,8.714869
93,46,46,0,0.000000,0.000000,375.240398,8.157400
94,48,48,0,0.000000,0.000000,391.209752,8.150203
95,30,30,0,0.000000,0.000000,286.611060,9.553702
96,35,35,0,0.000000,0.000000,305.940498,8.741157
97,53,53,0,0.000000,0.000000,438.715896,8.277658
98,38,38,0,0.000000,0.000000,338.744249,8.914322
99,38,38,0,0.000000,0.000000,321.224959,8.453288
100,41,41,0,0.000000,0.000000,373.829163,9.117784
