epoch,value
1709555899.300,28.888000
1709555900.299,28.888000
1709555901.299,28.333000
1709555902.300,27.777000
1709555903.300,28.888000
1709555904.300,27.777000
1709555905.300,27.777000
1709555906.300,27.777000
1709555907.300,27.777000
1709555908.300,27.777000
1709555909.300,27.222000
1709555910.300,27.777000
1709555911.300,27.222000
1709555912.300,27.777000
1709555913.300,27.777000
1709555914.300,27.777000
1709555915.299,27.222000
1709555916.300,27.777000
1709555917.300,27.777000
1709555918.300,27.777000
1709555919.300,27.777000
1709555920.300,27.222000
1709555921.300,27.222000
1709555922.300,27.222000
1709555923.300,27.777000
1709555924.300,27.222000
1709555925.299,27.222000
1709555926.300,27.777000
1709555927.300,27.222000
1709555928.300,27.222000
1709555929.300,27.222000
1709555930.300,27.222000
1709555931.300,27.777000
1709555932.300,27.222000
1709555933.300,27.222000
1709555934.300,27.777000
1709555935.299,27.222000
1709555936.299,27.222000
1709555937.299,27.222000
1709555938.300,27.222000
1709555939.299,27.222000
1709555940.299,27.222000
1709555941.299,27.222000
1709555942.300,27.222000
1709555943.300,27.222000
1709555944.299,27.222000
1709555945.300,27.222000
1709555946.300,27.777000
1709555947.300,27.777000
1709555948.300,27.222000
1709555949.300,27.222000
1709555950.300,27.222000
1709555951.299,27.222000
1709555952.300,27.222000
1709555953.300,27.222000
1709555954.300,27.777000
1709555955.299,27.222000
1709555956.300,27.222000
1709555957.300,27.222000
1709555958.300,27.777000
1709555959.299,27.222000
1709555960.300,27.222000
1709555961.300,27.222000
1709555962.300,27.222000
1709555963.300,27.222000
1709555964.300,27.222000
1709555965.300,27.222000
1709555966.300,27.222000
1709555967.299,27.222000
1709555968.300,27.222000
1709555969.300,27.222000
1709555970.300,27.222000
1709555971.300,27.777000
1709555972.300,27.222000
1709555973.300,27.777000
1709555974.300,27.777000
1709555975.299,27.222000
1709555976.300,27.222000
1709555977.300,27.777000
1709555978.299,27.777000
1709555979.300,27.222000
1709555980.300,27.777000
1709555981.299,27.777000
1709555982.300,27.777000
1709555983.299,27.222000
1709555984.300,27.777000
1709555985.300,27.777000
1709555986.300,27.222000
1709555987.300,27.777000
1709555988.300,27.777000
1709555989.300,27.777000
1709555990.300,27.777000
1709555991.300,27.777000
1709555992.300,27.777000
1709555993.300,27.777000
1709555994.300,27.777000
1709555995.300,27.777000
1709555996.300,27.777000
1709555997.300,27.777000
1709555998.300,27.777000
1709555999.300,27.777000
1709556000.300,27.222000
1709556001.300,27.777000
1709556002.300,27.777000
1709556003.300,27.222000
1709556004.300,27.777000
1709556005.300,27.222000
1709556006.300,27.777000
1709556007.300,27.777000
1709556008.300,27.777000
1709556009.300,27.777000
1709556010.300,27.777000
1709556011.300,27.777000
1709556012.300,27.777000
1709556013.300,27.777000
1709556014.300,27.222000
1709556015.299,27.777000
1709556016.300,27.777000
1709556017.300,27.777000
1709556018.300,27.777000
1709556019.300,27.777000
1709556020.299,27.777000
1709556021.299,27.777000
1709556022.299,27.777000
1709556023.299,27.777000
1709556024.300,27.777000
1709556025.300,27.222000
1709556026.299,27.777000
1709556027.300,27.777000
1709556028.300,27.222000
1709556029.300,27.222000
1709556030.299,27.222000
1709556031.300,27.222000
1709556032.300,27.222000
1709556033.300,27.222000
1709556034.300,27.222000
1709556035.300,27.222000
1709556036.300,27.222000
1709556037.300,27.222000
1709556038.300,27.222000
1709556039.299,27.777000
1709556040.300,27.777000
1709556041.300,27.222000
1709556042.300,27.222000
1709556043.300,27.222000
1709556044.300,27.222000
