interest,rtt(ms)
/skenario1-1-1-10/traffic50,18.259001
/skenario1-1-1-10/traffic50,15.540035
/skenario1-1-1-10/traffic75,15.327050
/skenario1-1-1-10/traffic97,14.332315
/skenario1-1-1-10/traffic17,15.925938
/skenario1-1-1-10/traffic72,15.561046
/skenario1-1-1-10/traffic40,18.763009
/skenario1-1-1-10/traffic16,8.535251
/skenario1-1-1-10/traffic3,15.308915
/skenario1-1-1-10/traffic3,1.087148
/skenario1-1-1-10/traffic12,4.655781
/skenario1-1-1-10/traffic11,5.489781
/skenario1-1-1-10/traffic15,5.062686
/skenario1-1-1-10/traffic15,5.214252
/skenario1-1-1-10/traffic9,5.290807
/skenario1-1-1-10/traffic62,4.744092
/skenario1-1-1-10/traffic16,4.043100
/skenario1-1-1-10/traffic1,15.226572
/skenario1-1-1-10/traffic3,6.534847
/skenario1-1-1-10/traffic34,20.986936
/skenario1-1-1-10/traffic15,7.074417
/skenario1-1-1-10/traffic21,4.803685
/skenario1-1-1-10/traffic21,2.639739
/skenario1-1-1-10/traffic59,26.111179
/skenario1-1-1-10/traffic2,29.989579
/skenario1-1-1-10/traffic2,31.688378
/skenario1-1-1-10/traffic2,26.559390
/skenario1-1-1-10/traffic5,37.089250
/skenario1-1-1-10/traffic5,15.819763
/skenario1-1-1-10/traffic72,15.494550
/skenario1-1-1-10/traffic20,38.167286
/skenario1-1-1-10/traffic20,17.497745
/skenario1-1-1-10/traffic23,39.742991
/skenario1-1-1-10/traffic4,38.907113
/skenario1-1-1-10/traffic4,22.572142
/skenario1-1-1-10/traffic4,22.400582
/skenario1-1-1-10/traffic4,4.094195
/skenario1-1-1-10/traffic91,37.533690
/skenario1-1-1-10/traffic12,14.659626
/skenario1-1-1-10/traffic68,37.641770
/skenario1-1-1-10/traffic29,37.643651
/skenario1-1-1-10/traffic39,37.181247
/skenario1-1-1-10/traffic46,35.536214
/skenario1-1-1-10/traffic33,35.256757
/skenario1-1-1-10/traffic63,34.281311
/skenario1-1-1-10/traffic47,23.086829
/skenario1-1-1-10/traffic54,21.749123
/skenario1-1-1-10/traffic36,20.713726
/skenario1-1-1-10/traffic69,19.297474
/skenario1-1-1-10/traffic25,22.440439
/skenario1-1-1-10/traffic14,22.761983
/skenario1-1-1-10/traffic20,5.143445
/skenario1-1-1-10/traffic3,4.512684
/skenario1-1-1-10/traffic84,16.373864
/skenario1-1-1-10/traffic38,15.824212
/skenario1-1-1-10/traffic78,12.834841
/skenario1-1-1-10/traffic1,8.350508
/skenario1-1-1-10/traffic2,7.985097
/skenario1-1-1-10/traffic67,11.893211
/skenario1-1-1-10/traffic3,5.882098
/skenario1-1-1-10/traffic1,5.445792
/skenario1-1-1-10/traffic1,4.435655
/skenario1-1-1-10/traffic23,5.428880
/skenario1-1-1-10/traffic64,15.355401
/skenario1-1-1-10/traffic2,4.324929
/skenario1-1-1-10/traffic17,4.683219
/skenario1-1-1-10/traffic8,27.559745
/skenario1-1-1-10/traffic3,8.461618
/skenario1-1-1-10/traffic4,7.668873
/skenario1-1-1-10/traffic63,6.760392
/skenario1-1-1-10/traffic8,7.090077
/skenario1-1-1-10/traffic8,5.456610
/skenario1-1-1-10/traffic3,10.238588
/skenario1-1-1-10/traffic3,8.428341
/skenario1-1-1-10/traffic1,8.412396
/skenario1-1-1-10/traffic26,41.416108
/skenario1-1-1-10/traffic81,41.843046
/skenario1-1-1-10/traffic19,42.000902
/skenario1-1-1-10/traffic41,41.970181
/skenario1-1-1-10/traffic42,41.287919
/skenario1-1-1-10/traffic9,39.929872
/skenario1-1-1-10/traffic21,39.135950
/skenario1-1-1-10/traffic15,38.468057
/skenario1-1-1-10/traffic13,38.753241
/skenario1-1-1-10/traffic6,38.489096
/skenario1-1-1-10/traffic6,30.714135
/skenario1-1-1-10/traffic44,38.282542
/skenario1-1-1-10/traffic45,38.578049
/skenario1-1-1-10/traffic11,38.942110
/skenario1-1-1-10/traffic27,34.776874
/skenario1-1-1-10/traffic73,31.606002
/skenario1-1-1-10/traffic7,32.225782
/skenario1-1-1-10/traffic30,31.195446
/skenario1-1-1-10/traffic99,23.791404
/skenario1-1-1-10/traffic24,22.113565
/skenario1-1-1-10/traffic45,6.615628
/skenario1-1-1-10/traffic45,4.373471
/skenario1-1-1-10/traffic92,23.767359
/skenario1-1-1-10/traffic11,6.397739
/skenario1-1-1-10/traffic21,6.418015
/skenario1-1-1-10/traffic44,9.284719
/skenario1-1-1-10/traffic97,34.315327
/skenario1-1-1-10/traffic10,33.980387
/skenario1-1-1-10/traffic12,33.099134
/skenario1-1-1-10/traffic43,32.365338
/skenario1-1-1-10/traffic1,26.037360
/skenario1-1-1-10/traffic3,23.050357
/skenario1-1-1-10/traffic3,22.656199
/skenario1-1-1-10/traffic8,10.272432
/skenario1-1-1-10/traffic20,21.813288
/skenario1-1-1-10/traffic20,6.820589
/skenario1-1-1-10/traffic17,17.173474
/skenario1-1-1-10/traffic30,5.134311
/skenario1-1-1-10/traffic61,15.890968
/skenario1-1-1-10/traffic47,14.293311
/skenario1-1-1-10/traffic21,14.316633
/skenario1-1-1-10/traffic11,11.855337
/skenario1-1-1-10/traffic42,8.432579
/skenario1-1-1-10/traffic19,4.614514
/skenario1-1-1-10/traffic80,22.238604
/skenario1-1-1-10/traffic46,22.267900
/skenario1-1-1-10/traffic2,22.355571
/skenario1-1-1-10/traffic2,5.653096
/skenario1-1-1-10/traffic75,21.833000
/skenario1-1-1-10/traffic10,5.818379
/skenario1-1-1-10/traffic10,4.370342
/skenario1-1-1-10/traffic60,26.954283
/skenario1-1-1-10/traffic52,33.086258
