Time,CPU used, RAM used, VRAM used
Mon Nov 27 02:12:34 2023,nan,426868736,4416989193780068353
Mon Nov 27 02:12:35 2023,0.249377,426848256,4416989193780068353
Mon Nov 27 02:12:36 2023,0.000000,426848256,4416989193780068353
Mon Nov 27 02:12:37 2023,0.000000,426848256,4416989193780068353
Mon Nov 27 02:12:38 2023,0.000000,426848256,4416989193780068353
Mon Nov 27 02:12:39 2023,0.000000,426848256,4416989193780068353
Mon Nov 27 02:12:40 2023,0.000000,426848256,4416989193780068353
Mon Nov 27 02:12:41 2023,0.000000,426848256,4416989193780068353
Mon Nov 27 02:12:42 2023,0.000000,426848256,4416989193780068353
Mon Nov 27 02:12:43 2023,0.000000,426848256,4416989193780068353
Mon Nov 27 02:12:44 2023,0.000000,426848256,4416989193780068353
Mon Nov 27 02:12:45 2023,0.000000,426848256,4416989193780068353
Mon Nov 27 02:12:46 2023,0.000000,426848256,4416989193780068353
Mon Nov 27 02:12:47 2023,0.000000,426848256,4416989193780068353
Mon Nov 27 02:12:48 2023,0.000000,426848256,4416989193780068353
Mon Nov 27 02:12:49 2023,0.000000,426848256,4416989193780068353
Mon Nov 27 02:12:50 2023,0.249377,426848256,4416989193780068353
Mon Nov 27 02:12:51 2023,0.000000,426848256,4416989193780068353
Mon Nov 27 02:12:52 2023,0.000000,426848256,4416989193780068353
Mon Nov 27 02:12:53 2023,0.000000,426848256,4416989193780068353
Mon Nov 27 02:12:54 2023,0.000000,426848256,4416989193780068353
Mon Nov 27 02:12:55 2023,0.000000,426848256,4416989193780068353
Mon Nov 27 02:12:56 2023,0.250000,426848256,4416989193780068353
Mon Nov 27 02:12:57 2023,0.502513,426848256,4416989193780068353
Mon Nov 27 02:12:58 2023,0.249377,426848256,4416989193780068353
Mon Nov 27 02:12:59 2023,0.000000,426848256,4416989193780068353
Mon Nov 27 02:13:00 2023,0.000000,426848256,4416989193780068353
Mon Nov 27 02:13:01 2023,0.000000,426848256,4416989193780068353
Mon Nov 27 02:13:02 2023,0.000000,426848256,4416989193780068353
Mon Nov 27 02:13:03 2023,0.000000,426848256,4416989193780068353
Mon Nov 27 02:13:04 2023,0.000000,426848256,4416989193780068353
Mon Nov 27 02:13:05 2023,0.000000,426848256,4416989193780068353
Mon Nov 27 02:13:06 2023,0.250000,426848256,4416989193780068353
