epoch,shortterm,midterm,longterm
1709611070.013,0.385742,0.119141,0.041016
1709611071.013,0.385742,0.119141,0.041016
1709611072.013,0.354492,0.116699,0.040527
1709611073.014,0.354492,0.116699,0.040527
1709611074.013,0.354492,0.116699,0.040527
1709611075.013,0.354492,0.116699,0.040527
1709611076.015,0.354492,0.116699,0.040527
1709611077.013,0.325684,0.114746,0.040039
1709611078.014,0.325684,0.114746,0.040039
1709611079.015,0.325684,0.114746,0.040039
1709611080.013,0.325684,0.114746,0.040039
1709611081.013,0.325684,0.114746,0.040039
1709611082.013,0.299316,0.112793,0.039551
1709611083.013,0.299316,0.112793,0.039551
1709611084.021,0.299316,0.112793,0.039551
1709611085.014,0.299316,0.112793,0.039551
1709611086.014,0.299316,0.112793,0.039551
1709611087.013,0.274902,0.110840,0.039062
1709611088.013,0.274902,0.110840,0.039062
1709611089.013,0.274902,0.110840,0.039062
1709611090.013,0.274902,0.110840,0.039062
1709611091.013,0.274902,0.110840,0.039062
1709611092.015,0.252441,0.108887,0.038574
1709611093.013,0.252441,0.108887,0.038574
1709611094.013,0.252441,0.108887,0.038574
1709611095.014,0.252441,0.108887,0.038574
1709611096.014,0.252441,0.108887,0.038574
1709611097.013,0.231934,0.106934,0.038086
1709611098.013,0.231934,0.106934,0.038086
1709611099.013,0.231934,0.106934,0.038086
1709611100.013,0.231934,0.106934,0.038086
1709611101.013,0.231934,0.106934,0.038086
1709611102.013,0.212891,0.104980,0.037598
1709611103.013,0.212891,0.104980,0.037598
1709611104.014,0.212891,0.104980,0.037598
1709611105.013,0.212891,0.104980,0.037598
1709611106.013,0.212891,0.104980,0.037598
1709611107.013,0.276367,0.120117,0.042969
1709611108.015,0.276367,0.120117,0.042969
1709611109.013,0.276367,0.120117,0.042969
1709611110.013,0.276367,0.120117,0.042969
1709611111.014,0.276367,0.120117,0.042969
1709611112.013,0.253906,0.117676,0.042480
1709611113.014,0.253906,0.117676,0.042480
1709611114.013,0.253906,0.117676,0.042480
1709611115.014,0.253906,0.117676,0.042480
1709611116.013,0.253906,0.117676,0.042480
1709611117.013,0.233398,0.115234,0.041992
1709611118.013,0.233398,0.115234,0.041992
1709611119.015,0.233398,0.115234,0.041992
1709611120.014,0.233398,0.115234,0.041992
1709611121.013,0.233398,0.115234,0.041992
1709611122.013,0.214355,0.113281,0.041504
1709611123.014,0.214355,0.113281,0.041504
1709611124.013,0.214355,0.113281,0.041504
1709611125.014,0.214355,0.113281,0.041504
1709611126.013,0.214355,0.113281,0.041504
1709611127.013,0.196777,0.111328,0.041016
1709611128.013,0.196777,0.111328,0.041016
1709611129.013,0.196777,0.111328,0.041016
1709611130.013,0.196777,0.111328,0.041016
1709611131.013,0.196777,0.111328,0.041016
1709611132.013,0.180664,0.109375,0.040527
1709611133.013,0.180664,0.109375,0.040527
1709611134.013,0.180664,0.109375,0.040527
1709611135.013,0.180664,0.109375,0.040527
1709611136.013,0.180664,0.109375,0.040527
1709611137.013,0.166016,0.107422,0.040039
1709611138.015,0.166016,0.107422,0.040039
1709611139.013,0.166016,0.107422,0.040039
1709611140.013,0.166016,0.107422,0.040039
1709611141.015,0.166016,0.107422,0.040039
1709611142.013,0.152344,0.105469,0.039551
1709611143.013,0.152344,0.105469,0.039551
1709611144.013,0.152344,0.105469,0.039551
1709611145.013,0.152344,0.105469,0.039551
1709611146.013,0.152344,0.105469,0.039551
1709611147.013,0.140137,0.103516,0.039062
1709611148.013,0.140137,0.103516,0.039062
1709611149.014,0.140137,0.103516,0.039062
1709611150.014,0.140137,0.103516,0.039062
1709611151.013,0.140137,0.103516,0.039062
1709611152.013,0.128906,0.101562,0.038574
1709611153.013,0.128906,0.101562,0.038574
1709611154.013,0.128906,0.101562,0.038574
1709611155.013,0.128906,0.101562,0.038574
1709611156.013,0.128906,0.101562,0.038574
1709611157.013,0.118164,0.099609,0.038086
1709611158.013,0.118164,0.099609,0.038086
1709611159.013,0.118164,0.099609,0.038086
1709611160.013,0.118164,0.099609,0.038086
1709611161.014,0.118164,0.099609,0.038086
1709611162.013,0.108398,0.097656,0.037598
1709611163.013,0.108398,0.097656,0.037598
1709611164.013,0.108398,0.097656,0.037598
1709611165.015,0.108398,0.097656,0.037598
1709611166.014,0.108398,0.097656,0.037598
1709611167.015,0.099609,0.095703,0.037109
1709611168.013,0.099609,0.095703,0.037109
1709611169.014,0.099609,0.095703,0.037109
1709611170.013,0.099609,0.095703,0.037109
1709611171.014,0.099609,0.095703,0.037109
1709611172.013,0.091309,0.093750,0.036621
1709611173.015,0.091309,0.093750,0.036621
1709611174.015,0.091309,0.093750,0.036621
1709611175.013,0.091309,0.093750,0.036621
1709611176.013,0.091309,0.093750,0.036621
1709611177.015,0.083984,0.091797,0.036133
1709611178.013,0.083984,0.091797,0.036133
1709611179.013,0.083984,0.091797,0.036133
1709611180.013,0.083984,0.091797,0.036133
1709611181.013,0.083984,0.091797,0.036133
1709611182.013,0.077148,0.089844,0.035645
1709611183.013,0.077148,0.089844,0.035645
1709611184.013,0.077148,0.089844,0.035645
1709611185.013,0.077148,0.089844,0.035645
1709611186.013,0.077148,0.089844,0.035645
1709611187.013,0.070801,0.087891,0.035156
1709611188.013,0.070801,0.087891,0.035156
1709611189.013,0.070801,0.087891,0.035156
1709611190.013,0.070801,0.087891,0.035156
1709611191.015,0.070801,0.087891,0.035156
1709611192.013,0.064941,0.086426,0.034668
1709611193.015,0.064941,0.086426,0.034668
1709611194.013,0.064941,0.086426,0.034668
1709611195.013,0.064941,0.086426,0.034668
1709611196.013,0.064941,0.086426,0.034668
1709611197.013,0.059570,0.084961,0.034180
1709611198.013,0.059570,0.084961,0.034180
1709611199.013,0.059570,0.084961,0.034180
1709611200.014,0.059570,0.084961,0.034180
1709611201.013,0.059570,0.084961,0.034180
1709611202.013,0.054688,0.083496,0.033691
1709611203.013,0.054688,0.083496,0.033691
1709611204.013,0.054688,0.083496,0.033691
1709611205.014,0.054688,0.083496,0.033691
1709611206.013,0.054688,0.083496,0.033691
1709611207.013,0.050293,0.082031,0.033203
1709611208.014,0.050293,0.082031,0.033203
1709611209.013,0.050293,0.082031,0.033203
1709611210.013,0.050293,0.082031,0.033203
1709611211.013,0.050293,0.082031,0.033203
1709611212.013,0.045898,0.080566,0.032715
1709611213.015,0.045898,0.080566,0.032715
1709611214.015,0.045898,0.080566,0.032715
1709611215.015,0.045898,0.080566,0.032715
1709611216.013,0.045898,0.080566,0.032715
1709611217.013,0.041992,0.079102,0.032227
1709611218.013,0.041992,0.079102,0.032227
1709611219.013,0.041992,0.079102,0.032227
1709611220.013,0.041992,0.079102,0.032227
1709611221.013,0.041992,0.079102,0.032227
1709611222.013,0.038574,0.077637,0.031738
1709611223.013,0.038574,0.077637,0.031738
1709611224.013,0.038574,0.077637,0.031738
1709611225.013,0.038574,0.077637,0.031738
1709611226.013,0.038574,0.077637,0.031738
