interest,rtt(ms)
/scenario1-3-2/traffic1,19.045779
/scenario1-3-2/traffic74,22.801604
/scenario1-3-2/traffic11,18.169337
/scenario1-3-2/traffic30,13.740102
/scenario1-3-2/traffic66,16.375822
/scenario1-3-2/traffic2,12.154265
/scenario1-3-2/traffic96,12.405473
/scenario1-3-2/traffic11,5.241052
/scenario1-3-2/traffic65,20.010076
/scenario1-3-2/traffic25,15.467561
/scenario1-3-2/traffic39,13.713972
/scenario1-3-2/traffic51,12.814921
/scenario1-3-2/traffic6,14.076596
/scenario1-3-2/traffic6,9.890441
/scenario1-3-2/traffic4,23.455651
/scenario1-3-2/traffic27,17.405189
/scenario1-3-2/traffic43,17.299396
/scenario1-3-2/traffic64,15.060906
/scenario1-3-2/traffic7,11.674436
/scenario1-3-2/traffic4,7.027125
/scenario1-3-2/traffic53,12.391522
/scenario1-3-2/traffic29,12.163372
/scenario1-3-2/traffic65,5.763442
/scenario1-3-2/traffic19,12.556228
/scenario1-3-2/traffic14,11.697467
/scenario1-3-2/traffic3,11.210057
/scenario1-3-2/traffic1,4.208673
/scenario1-3-2/traffic60,24.659454
/scenario1-3-2/traffic71,20.711589
/scenario1-3-2/traffic7,11.017705
/scenario1-3-2/traffic68,12.414873
/scenario1-3-2/traffic87,12.033536
/scenario1-3-2/traffic34,14.928355
/scenario1-3-2/traffic96,4.484725
/scenario1-3-2/traffic88,10.757512
/scenario1-3-2/traffic24,13.629851
/scenario1-3-2/traffic45,13.535707
/scenario1-3-2/traffic20,14.369395
/scenario1-3-2/traffic59,10.868703
/scenario1-3-2/traffic13,16.351284
/scenario1-3-2/traffic54,12.677669
/scenario1-3-2/traffic25,4.393575
/scenario1-3-2/traffic12,14.699637
/scenario1-3-2/traffic62,11.584065
/scenario1-3-2/traffic22,13.209148
/scenario1-3-2/traffic64,8.885730
/scenario1-3-2/traffic33,17.002965
/scenario1-3-2/traffic12,5.369211
/scenario1-3-2/traffic32,15.438145
/scenario1-3-2/traffic28,12.044728
/scenario1-3-2/traffic69,11.561898
/scenario1-3-2/traffic13,4.754067
/scenario1-3-2/traffic67,13.293771
/scenario1-3-2/traffic1,6.076182
/scenario1-3-2/traffic93,13.234214
/scenario1-3-2/traffic12,4.404945
/scenario1-3-2/traffic99,12.179364
/scenario1-3-2/traffic4,5.875371
/scenario1-3-2/traffic72,14.805099
/scenario1-3-2/traffic29,4.759975
/scenario1-3-2/traffic4,4.535928
/scenario1-3-2/traffic10,11.645117
/scenario1-3-2/traffic21,12.127640
/scenario1-3-2/traffic56,12.306596
/scenario1-3-2/traffic41,24.524411
/scenario1-3-2/traffic26,19.644015
/scenario1-3-2/traffic44,14.904052
/scenario1-3-2/traffic44,0.645003
/scenario1-3-2/traffic89,19.972453
/scenario1-3-2/traffic52,12.293896
/scenario1-3-2/traffic20,10.825551
/scenario1-3-2/traffic3,6.343855
/scenario1-3-2/traffic45,5.478855
/scenario1-3-2/traffic55,16.905026
/scenario1-3-2/traffic35,17.439627
/scenario1-3-2/traffic37,15.307940
/scenario1-3-2/traffic11,4.557360
/scenario1-3-2/traffic41,5.119247
/scenario1-3-2/traffic8,18.977425
/scenario1-3-2/traffic19,5.197984
/scenario1-3-2/traffic26,4.999433
/scenario1-3-2/traffic8,4.538355
/scenario1-3-2/traffic9,15.410876
/scenario1-3-2/traffic41,5.365811
/scenario1-3-2/traffic6,12.160039
/scenario1-3-2/traffic44,4.843393
/scenario1-3-2/traffic21,4.242299
/scenario1-3-2/traffic19,10.552223
/scenario1-3-2/traffic15,13.187315
/scenario1-3-2/traffic18,10.767039
/scenario1-3-2/traffic27,4.496491
/scenario1-3-2/traffic42,17.168373
/scenario1-3-2/traffic62,8.468870
/scenario1-3-2/traffic3,5.531626
/scenario1-3-2/traffic28,7.134044
/scenario1-3-2/traffic8,4.687488
/scenario1-3-2/traffic8,4.828759
/scenario1-3-2/traffic46,12.676773
/scenario1-3-2/traffic10,5.778787
/scenario1-3-2/traffic1,7.193486
/scenario1-3-2/traffic59,4.452901
/scenario1-3-2/traffic12,4.144175
/scenario1-3-2/traffic51,4.393990
/scenario1-3-2/traffic49,12.583523
/scenario1-3-2/traffic66,9.082217
/scenario1-3-2/traffic16,13.555397
/scenario1-3-2/traffic10,7.023125
/scenario1-3-2/traffic19,4.501103
/scenario1-3-2/traffic13,7.004784
/scenario1-3-2/traffic67,4.980686
/scenario1-3-2/traffic9,9.926777
/scenario1-3-2/traffic19,4.628196
/scenario1-3-2/traffic15,4.546579
/scenario1-3-2/traffic4,4.207196
/scenario1-3-2/traffic18,8.090558
/scenario1-3-2/traffic2,4.796793
/scenario1-3-2/traffic21,4.106620
/scenario1-3-2/traffic24,7.086063
/scenario1-3-2/traffic56,10.924847
/scenario1-3-2/traffic3,6.368130
/scenario1-3-2/traffic16,4.430059
/scenario1-3-2/traffic3,4.833958
/scenario1-3-2/traffic3,4.831077
/scenario1-3-2/traffic3,4.444662
/scenario1-3-2/traffic27,4.381201
/scenario1-3-2/traffic39,9.750056
/scenario1-3-2/traffic1,7.638066
/scenario1-3-2/traffic67,5.851243
/scenario1-3-2/traffic39,7.062535
/scenario1-3-2/traffic10,4.786885
/scenario1-3-2/traffic71,4.795136
/scenario1-3-2/traffic29,4.171766
/scenario1-3-2/traffic77,12.506459
/scenario1-3-2/traffic69,5.102273
/scenario1-3-2/traffic57,16.026927
/scenario1-3-2/traffic82,11.598982
/scenario1-3-2/traffic33,5.388152
/scenario1-3-2/traffic6,5.006981
/scenario1-3-2/traffic8,4.871985
/scenario1-3-2/traffic36,19.752185
/scenario1-3-2/traffic43,5.598136
/scenario1-3-2/traffic1,4.370584
/scenario1-3-2/traffic42,4.348501
/scenario1-3-2/traffic7,4.652553
/scenario1-3-2/traffic24,4.360001
/scenario1-3-2/traffic24,5.083678
/scenario1-3-2/traffic17,12.220713
/scenario1-3-2/traffic16,12.041436
/scenario1-3-2/traffic10,8.342500
/scenario1-3-2/traffic9,4.373390
/scenario1-3-2/traffic69,4.192752
/scenario1-3-2/traffic14,4.611286
/scenario1-3-2/traffic9,4.645075
/scenario1-3-2/traffic8,5.507317
/scenario1-3-2/traffic61,11.251813
/scenario1-3-2/traffic11,4.567078
/scenario1-3-2/traffic58,12.574495
/scenario1-3-2/traffic4,4.431018
/scenario1-3-2/traffic11,4.422073
/scenario1-3-2/traffic36,5.854505
/scenario1-3-2/traffic24,5.111087
/scenario1-3-2/traffic3,7.612687
/scenario1-3-2/traffic11,6.819059
/scenario1-3-2/traffic6,6.940228
/scenario1-3-2/traffic7,8.951925
/scenario1-3-2/traffic20,4.788906
/scenario1-3-2/traffic11,18.343531
/scenario1-3-2/traffic12,4.649609
/scenario1-3-2/traffic3,11.285025
/scenario1-3-2/traffic87,11.209938
/scenario1-3-2/traffic86,11.779150
/scenario1-3-2/traffic27,9.375224
/scenario1-3-2/traffic17,5.667958
/scenario1-3-2/traffic32,5.490503
/scenario1-3-2/traffic47,17.347523
/scenario1-3-2/traffic29,4.860778
/scenario1-3-2/traffic50,15.476098
/scenario1-3-2/traffic28,4.791820
/scenario1-3-2/traffic40,12.366943
/scenario1-3-2/traffic74,5.213211
/scenario1-3-2/traffic5,15.038748
/scenario1-3-2/traffic6,4.859471
/scenario1-3-2/traffic5,4.365789
/scenario1-3-2/traffic4,4.509885
/scenario1-3-2/traffic32,6.524529
/scenario1-3-2/traffic31,17.036044
/scenario1-3-2/traffic50,7.619047
/scenario1-3-2/traffic100,14.076332
/scenario1-3-2/traffic2,9.167072
/scenario1-3-2/traffic5,5.545821
/scenario1-3-2/traffic11,4.878382
/scenario1-3-2/traffic10,4.132591
/scenario1-3-2/traffic5,5.215468
/scenario1-3-2/traffic74,5.968078
/scenario1-3-2/traffic91,17.750504
/scenario1-3-2/traffic21,14.463145
/scenario1-3-2/traffic2,8.639852
/scenario1-3-2/traffic7,7.322008
/scenario1-3-2/traffic15,6.235555
/scenario1-3-2/traffic39,7.030707
/scenario1-3-2/traffic46,5.064239
/scenario1-3-2/traffic1,4.434047
/scenario1-3-2/traffic7,5.156067
/scenario1-3-2/traffic33,4.514018
/scenario1-3-2/traffic47,4.555752
/scenario1-3-2/traffic50,4.801073
/scenario1-3-2/traffic55,4.481568
/scenario1-3-2/traffic2,4.090940
/scenario1-3-2/traffic42,6.919644
/scenario1-3-2/traffic31,5.936416
/scenario1-3-2/traffic2,4.531649
/scenario1-3-2/traffic5,6.865710
/scenario1-3-2/traffic12,5.886127
/scenario1-3-2/traffic31,4.391900
/scenario1-3-2/traffic8,5.813219
/scenario1-3-2/traffic17,5.071421
/scenario1-3-2/traffic56,4.588059
/scenario1-3-2/traffic5,4.852538
/scenario1-3-2/traffic7,4.893957
/scenario1-3-2/traffic1,5.032198
/scenario1-3-2/traffic82,5.111665
/scenario1-3-2/traffic30,5.013919
/scenario1-3-2/traffic7,4.200695
/scenario1-3-2/traffic23,12.477116
/scenario1-3-2/traffic92,13.669691
/scenario1-3-2/traffic41,5.079246
/scenario1-3-2/traffic48,11.155091
/scenario1-3-2/traffic7,4.284173
/scenario1-3-2/traffic30,6.531391
/scenario1-3-2/traffic41,4.171622
/scenario1-3-2/traffic78,13.694908
/scenario1-3-2/traffic3,4.127315
/scenario1-3-2/traffic31,4.378955
/scenario1-3-2/traffic78,5.092635
/scenario1-3-2/traffic87,5.588965
/scenario1-3-2/traffic96,4.740126
/scenario1-3-2/traffic29,6.711560
/scenario1-3-2/traffic27,14.575824
/scenario1-3-2/traffic66,11.450714
/scenario1-3-2/traffic35,8.266022
/scenario1-3-2/traffic2,9.424342
/scenario1-3-2/traffic26,4.415974
/scenario1-3-2/traffic21,5.994691
/scenario1-3-2/traffic32,4.645488
/scenario1-3-2/traffic15,4.380427
/scenario1-3-2/traffic68,4.807177
/scenario1-3-2/traffic14,4.819190
/scenario1-3-2/traffic1,7.576143
/scenario1-3-2/traffic26,4.536976
/scenario1-3-2/traffic29,4.814654
/scenario1-3-2/traffic36,4.166494
/scenario1-3-2/traffic22,4.623988
/scenario1-3-2/traffic27,4.143741
/scenario1-3-2/traffic21,4.561865
/scenario1-3-2/traffic9,5.736351
/scenario1-3-2/traffic27,4.723241
/scenario1-3-2/traffic3,5.770800
/scenario1-3-2/traffic1,4.820357
/scenario1-3-2/traffic16,5.186200
/scenario1-3-2/traffic86,5.463498
/scenario1-3-2/traffic5,5.111908
/scenario1-3-2/traffic6,4.898940
/scenario1-3-2/traffic77,4.447927
/scenario1-3-2/traffic1,4.370198
/scenario1-3-2/traffic8,4.349288
/scenario1-3-2/traffic1,4.822547
/scenario1-3-2/traffic15,5.205547
/scenario1-3-2/traffic47,5.758351
/scenario1-3-2/traffic48,9.171613
/scenario1-3-2/traffic10,8.743857
/scenario1-3-2/traffic11,4.190457
/scenario1-3-2/traffic3,4.253599
/scenario1-3-2/traffic35,5.170513
/scenario1-3-2/traffic22,9.790058
/scenario1-3-2/traffic72,9.599607
/scenario1-3-2/traffic38,22.587733
/scenario1-3-2/traffic76,22.098906
/scenario1-3-2/traffic52,13.647150
/scenario1-3-2/traffic75,18.912892
/scenario1-3-2/traffic2,4.537914
/scenario1-3-2/traffic50,8.540520
/scenario1-3-2/traffic28,8.458283
/scenario1-3-2/traffic4,5.112374
/scenario1-3-2/traffic3,4.268736
/scenario1-3-2/traffic15,4.336969
/scenario1-3-2/traffic65,4.058343
/scenario1-3-2/traffic25,4.191809
/scenario1-3-2/traffic82,8.376670
/scenario1-3-2/traffic9,4.861881
/scenario1-3-2/traffic5,4.388947
/scenario1-3-2/traffic33,4.762631
/scenario1-3-2/traffic31,6.769867
/scenario1-3-2/traffic61,4.267896
/scenario1-3-2/traffic83,14.894808
/scenario1-3-2/traffic3,6.041893
/scenario1-3-2/traffic19,4.610814
/scenario1-3-2/traffic2,4.940606
/scenario1-3-2/traffic11,4.993189
/scenario1-3-2/traffic40,4.613263
/scenario1-3-2/traffic78,4.439914
/scenario1-3-2/traffic53,4.230248
/scenario1-3-2/traffic71,5.513851
/scenario1-3-2/traffic41,4.432599
/scenario1-3-2/traffic55,4.615020
/scenario1-3-2/traffic24,6.288903
/scenario1-3-2/traffic21,4.238003
/scenario1-3-2/traffic51,4.177543
/scenario1-3-2/traffic93,4.890085
/scenario1-3-2/traffic56,4.708466
/scenario1-3-2/traffic57,4.732832
/scenario1-3-2/traffic67,7.098577
/scenario1-3-2/traffic60,4.411006
/scenario1-3-2/traffic74,5.507439
/scenario1-3-2/traffic7,5.429608
/scenario1-3-2/traffic92,5.592267
/scenario1-3-2/traffic19,6.396639
/scenario1-3-2/traffic52,6.001493
/scenario1-3-2/traffic19,4.554959
/scenario1-3-2/traffic49,8.163677
/scenario1-3-2/traffic6,5.818391
/scenario1-3-2/traffic30,4.592051
/scenario1-3-2/traffic4,4.493485
/scenario1-3-2/traffic37,4.412764
/scenario1-3-2/traffic5,6.173360
/scenario1-3-2/traffic5,0.587663
/scenario1-3-2/traffic15,6.393803
/scenario1-3-2/traffic30,9.156724
/scenario1-3-2/traffic12,6.560087
/scenario1-3-2/traffic5,3.976531
/scenario1-3-2/traffic61,4.287881
/scenario1-3-2/traffic14,4.372538
/scenario1-3-2/traffic34,4.398482
/scenario1-3-2/traffic69,4.284045
/scenario1-3-2/traffic30,4.266967
/scenario1-3-2/traffic21,6.458989
/scenario1-3-2/traffic64,6.335473
/scenario1-3-2/traffic27,10.603399
/scenario1-3-2/traffic4,5.169159
/scenario1-3-2/traffic7,6.331857
/scenario1-3-2/traffic37,4.410190
/scenario1-3-2/traffic11,6.314666
/scenario1-3-2/traffic52,4.792007
/scenario1-3-2/traffic13,7.016390
/scenario1-3-2/traffic38,6.924382
/scenario1-3-2/traffic4,7.100260
/scenario1-3-2/traffic24,4.546504
