interest,rtt(ms)
/scenario1-3-3/traffic78,5.971594
/scenario1-3-3/traffic6,5.405486
/scenario1-3-3/traffic85,9.338643
/scenario1-3-3/traffic44,6.111526
/scenario1-3-3/traffic3,23.883672
/scenario1-3-3/traffic64,22.009384
/scenario1-3-3/traffic46,5.371883
/scenario1-3-3/traffic34,5.125943
/scenario1-3-3/traffic55,5.908755
/scenario1-3-3/traffic28,11.608325
/scenario1-3-3/traffic11,8.120996
/scenario1-3-3/traffic80,9.975213
/scenario1-3-3/traffic13,4.767064
/scenario1-3-3/traffic61,9.354556
/scenario1-3-3/traffic86,8.663444
/scenario1-3-3/traffic21,5.182503
/scenario1-3-3/traffic40,4.304394
/scenario1-3-3/traffic34,5.576115
/scenario1-3-3/traffic96,6.237900
/scenario1-3-3/traffic60,4.929769
/scenario1-3-3/traffic66,4.839829
/scenario1-3-3/traffic1,7.981838
/scenario1-3-3/traffic48,4.998278
/scenario1-3-3/traffic5,5.095953
/scenario1-3-3/traffic38,11.637151
/scenario1-3-3/traffic5,12.647185
/scenario1-3-3/traffic12,7.191213
/scenario1-3-3/traffic42,12.769580
/scenario1-3-3/traffic37,5.692803
/scenario1-3-3/traffic12,5.877313
/scenario1-3-3/traffic49,10.339254
/scenario1-3-3/traffic12,9.216362
/scenario1-3-3/traffic17,5.515349
/scenario1-3-3/traffic24,4.799379
/scenario1-3-3/traffic1,5.835205
/scenario1-3-3/traffic2,5.077751
/scenario1-3-3/traffic16,8.115164
/scenario1-3-3/traffic42,6.228078
/scenario1-3-3/traffic57,7.234333
/scenario1-3-3/traffic74,4.430802
/scenario1-3-3/traffic34,6.496200
/scenario1-3-3/traffic1,5.137916
/scenario1-3-3/traffic17,7.798654
/scenario1-3-3/traffic56,9.331268
/scenario1-3-3/traffic8,5.065706
/scenario1-3-3/traffic29,10.041529
/scenario1-3-3/traffic6,4.314352
/scenario1-3-3/traffic17,9.342823
/scenario1-3-3/traffic12,8.861788
/scenario1-3-3/traffic73,11.832593
/scenario1-3-3/traffic93,9.088062
/scenario1-3-3/traffic19,8.019951
/scenario1-3-3/traffic68,7.027918
