Time,CPU used, RAM used, VRAM used
Wed Mar 13 03:26:19 2024,0.000000,447008768,4416989193780068353
Wed Mar 13 03:26:20 2024,0.000000,447008768,4416989193780068353
Wed Mar 13 03:26:21 2024,0.250000,447008768,4416989193780068353
Wed Mar 13 03:26:22 2024,0.000000,447008768,4416989193780068353
Wed Mar 13 03:26:23 2024,0.000000,447025152,4416989193780068353
Wed Mar 13 03:26:24 2024,0.000000,447025152,4416989193780068353
Wed Mar 13 03:26:25 2024,0.000000,447025152,4416989193780068353
Wed Mar 13 03:26:26 2024,0.000000,447025152,4416989193780068353
Wed Mar 13 03:26:27 2024,0.000000,447041536,4416989193780068353
Wed Mar 13 03:26:28 2024,2.806122,447041536,4416989193780068353
Wed Mar 13 03:26:29 2024,3.053435,447074304,4416989193780068353
Wed Mar 13 03:26:30 2024,2.798982,447205376,4416989193780068353
Wed Mar 13 03:26:31 2024,3.544304,447041536,4416989193780068353
Wed Mar 13 03:26:32 2024,2.564103,447139840,4416989193780068353
Wed Mar 13 03:26:33 2024,2.806122,447074304,4416989193780068353
Wed Mar 13 03:26:34 2024,2.806122,447041536,4416989193780068353
Wed Mar 13 03:26:35 2024,2.806122,447041536,4416989193780068353
Wed Mar 13 03:26:36 2024,2.557545,447008768,4416989193780068353
Wed Mar 13 03:26:37 2024,3.053435,447074304,4416989193780068353
Wed Mar 13 03:26:38 2024,3.092784,447205376,4416989193780068353
Wed Mar 13 03:26:39 2024,2.798982,447139840,4416989193780068353
Wed Mar 13 03:26:40 2024,2.551020,447139840,4416989193780068353
Wed Mar 13 03:26:41 2024,1.799486,447139840,4416989193780068353
Wed Mar 13 03:26:42 2024,3.836317,447139840,4416989193780068353
Wed Mar 13 03:26:43 2024,2.806122,447123456,4416989193780068353
Wed Mar 13 03:26:44 2024,2.056555,447123456,4416989193780068353
Wed Mar 13 03:26:45 2024,3.787879,447156224,4416989193780068353
Wed Mar 13 03:26:46 2024,3.299492,447156224,4416989193780068353
Wed Mar 13 03:26:47 2024,3.061224,447156224,4416989193780068353
Wed Mar 13 03:26:48 2024,2.301790,447156224,4416989193780068353
Wed Mar 13 03:26:49 2024,2.798982,447156224,4416989193780068353
Wed Mar 13 03:26:50 2024,2.564103,447156224,4416989193780068353
Wed Mar 13 03:26:51 2024,2.806122,447156224,4416989193780068353
Wed Mar 13 03:26:52 2024,3.291139,447156224,4416989193780068353
Wed Mar 13 03:26:53 2024,3.307888,447156224,4416989193780068353
Wed Mar 13 03:26:54 2024,3.061224,447156224,4416989193780068353
Wed Mar 13 03:26:55 2024,3.045685,447123456,4416989193780068353
Wed Mar 13 03:26:56 2024,3.307888,447188992,4416989193780068353
Wed Mar 13 03:26:57 2024,3.299492,447090688,4416989193780068353
Wed Mar 13 03:26:58 2024,3.061224,447123456,4416989193780068353
Wed Mar 13 03:26:59 2024,2.806122,447123456,4416989193780068353
Wed Mar 13 03:27:00 2024,3.053435,447123456,4416989193780068353
Wed Mar 13 03:27:01 2024,3.299492,447057920,4416989193780068353
Wed Mar 13 03:27:02 2024,4.282116,447123456,4416989193780068353
Wed Mar 13 03:27:03 2024,2.806122,447156224,4416989193780068353
Wed Mar 13 03:27:04 2024,4.030227,447156224,4416989193780068353
Wed Mar 13 03:27:05 2024,3.045685,447156224,4416989193780068353
Wed Mar 13 03:27:06 2024,2.813299,447090688,4416989193780068353
Wed Mar 13 03:27:07 2024,3.053435,447090688,4416989193780068353
Wed Mar 13 03:27:08 2024,2.557545,447156224,4416989193780068353
Wed Mar 13 03:27:09 2024,3.535354,447156224,4416989193780068353
Wed Mar 13 03:27:10 2024,3.299492,447156224,4416989193780068353
Wed Mar 13 03:27:11 2024,3.053435,447156224,4416989193780068353
Wed Mar 13 03:27:12 2024,4.797980,447156224,4416989193780068353
Wed Mar 13 03:27:13 2024,3.787879,447156224,4416989193780068353
Wed Mar 13 03:27:14 2024,2.806122,447156224,4416989193780068353
Wed Mar 13 03:27:15 2024,3.053435,447057920,4416989193780068353
Wed Mar 13 03:27:16 2024,3.797468,447221760,4416989193780068353
Wed Mar 13 03:27:17 2024,2.798982,447057920,4416989193780068353
Wed Mar 13 03:27:18 2024,0.250000,447188992,4416989193780068353
Wed Mar 13 03:27:19 2024,0.000000,447156224,4416989193780068353
Wed Mar 13 03:27:20 2024,0.000000,447156224,4416989193780068353
Wed Mar 13 03:27:21 2024,0.000000,447156224,4416989193780068353
Wed Mar 13 03:27:22 2024,0.000000,447156224,4416989193780068353
Wed Mar 13 03:27:23 2024,0.000000,447156224,4416989193780068353
