interest,rtt(ms)
/scenario2-2-1/traffic47,20.719488
/scenario2-2-1/traffic16,14.938194
/scenario2-2-1/traffic70,11.816227
/scenario2-2-1/traffic35,13.491032
/scenario2-2-1/traffic73,17.506584
/scenario2-2-1/traffic6,18.802544
/scenario2-2-1/traffic8,19.095664
/scenario2-2-1/traffic17,20.901186
/scenario2-2-1/traffic20,16.068958
/scenario2-2-1/traffic83,13.716989
/scenario2-2-1/traffic25,15.710236
/scenario2-2-1/traffic14,12.299267
/scenario2-2-1/traffic2,14.015747
/scenario2-2-1/traffic35,6.031458
/scenario2-2-1/traffic7,16.284498
/scenario2-2-1/traffic17,5.602233
/scenario2-2-1/traffic1,16.223202
/scenario2-2-1/traffic25,6.269449
/scenario2-2-1/traffic41,11.097208
/scenario2-2-1/traffic35,6.845023
/scenario2-2-1/traffic61,15.054411
/scenario2-2-1/traffic7,6.002875
/scenario2-2-1/traffic9,12.730829
/scenario2-2-1/traffic2,4.200750
/scenario2-2-1/traffic57,11.957330
/scenario2-2-1/traffic61,6.639248
/scenario2-2-1/traffic6,6.367648
/scenario2-2-1/traffic1,5.232304
/scenario2-2-1/traffic53,20.910744
/scenario2-2-1/traffic40,13.108571
/scenario2-2-1/traffic8,7.904977
/scenario2-2-1/traffic13,15.165058
/scenario2-2-1/traffic6,4.233740
/scenario2-2-1/traffic12,15.838973
/scenario2-2-1/traffic12,9.761418
/scenario2-2-1/traffic37,12.445142
/scenario2-2-1/traffic81,14.585050
/scenario2-2-1/traffic46,10.917279
/scenario2-2-1/traffic87,11.733394
/scenario2-2-1/traffic14,4.855368
/scenario2-2-1/traffic49,14.464891
/scenario2-2-1/traffic35,5.771169
/scenario2-2-1/traffic4,12.579428
/scenario2-2-1/traffic14,11.002584
/scenario2-2-1/traffic21,18.734537
/scenario2-2-1/traffic20,9.243227
/scenario2-2-1/traffic96,17.073300
/scenario2-2-1/traffic4,4.822725
/scenario2-2-1/traffic6,5.190801
/scenario2-2-1/traffic39,12.894237
