epoch,shortterm,midterm,longterm
1708316518.285,0.505371,0.151367,0.052246
1708316519.285,0.505371,0.151367,0.052246
1708316520.285,1.025879,0.265137,0.089844
1708316521.286,1.025879,0.265137,0.089844
1708316522.285,1.025879,0.265137,0.089844
1708316523.286,1.025879,0.265137,0.089844
1708316524.286,1.025879,0.265137,0.089844
1708316525.287,1.424316,0.360352,0.122070
1708316526.287,1.424316,0.360352,0.122070
1708316527.287,1.424316,0.360352,0.122070
1708316528.287,1.424316,0.360352,0.122070
1708316529.286,1.424316,0.360352,0.122070
1708316530.290,1.550781,0.404297,0.137695
1708316531.288,1.550781,0.404297,0.137695
1708316532.287,1.550781,0.404297,0.137695
1708316533.286,1.550781,0.404297,0.137695
1708316534.288,1.550781,0.404297,0.137695
1708316535.286,1.506348,0.414551,0.142578
1708316536.286,1.506348,0.414551,0.142578
1708316537.288,1.506348,0.414551,0.142578
1708316538.287,1.506348,0.414551,0.142578
1708316539.287,1.506348,0.414551,0.142578
1708316540.287,1.385254,0.407227,0.141602
1708316541.286,1.385254,0.407227,0.141602
1708316542.287,1.385254,0.407227,0.141602
1708316543.286,1.385254,0.407227,0.141602
1708316544.285,1.385254,0.407227,0.141602
1708316545.287,1.273926,0.400391,0.140625
1708316546.285,1.273926,0.400391,0.140625
1708316547.286,1.273926,0.400391,0.140625
1708316548.286,1.273926,0.400391,0.140625
1708316549.285,1.273926,0.400391,0.140625
1708316550.287,1.171875,0.393555,0.139648
1708316551.287,1.171875,0.393555,0.139648
1708316552.287,1.171875,0.393555,0.139648
1708316553.287,1.171875,0.393555,0.139648
1708316554.286,1.171875,0.393555,0.139648
1708316555.287,1.077637,0.386719,0.138672
1708316556.286,1.077637,0.386719,0.138672
1708316557.286,1.077637,0.386719,0.138672
1708316558.285,1.077637,0.386719,0.138672
1708316559.285,1.077637,0.386719,0.138672
1708316560.286,0.991211,0.379883,0.137695
1708316561.287,0.991211,0.379883,0.137695
1708316562.286,0.991211,0.379883,0.137695
1708316563.286,0.991211,0.379883,0.137695
1708316564.286,0.991211,0.379883,0.137695
1708316565.287,0.911621,0.373535,0.136719
1708316566.286,0.911621,0.373535,0.136719
1708316567.286,0.911621,0.373535,0.136719
1708316568.286,0.911621,0.373535,0.136719
1708316569.286,0.911621,0.373535,0.136719
1708316570.285,0.918945,0.384277,0.141602
1708316571.287,0.918945,0.384277,0.141602
1708316572.286,0.918945,0.384277,0.141602
1708316573.285,0.918945,0.384277,0.141602
1708316574.286,0.918945,0.384277,0.141602
1708316575.286,0.845215,0.377441,0.140625
1708316576.285,0.845215,0.377441,0.140625
1708316577.286,0.845215,0.377441,0.140625
1708316578.286,0.845215,0.377441,0.140625
1708316579.286,0.845215,0.377441,0.140625
1708316580.287,0.777344,0.371094,0.139648
1708316581.286,0.777344,0.371094,0.139648
1708316582.286,0.777344,0.371094,0.139648
1708316583.286,0.777344,0.371094,0.139648
1708316584.286,0.777344,0.371094,0.139648
1708316585.285,0.714844,0.364746,0.138672
1708316586.286,0.714844,0.364746,0.138672
1708316587.286,0.714844,0.364746,0.138672
1708316588.286,0.714844,0.364746,0.138672
1708316589.285,0.714844,0.364746,0.138672
1708316590.285,0.657227,0.358398,0.137695
1708316591.286,0.657227,0.358398,0.137695
1708316592.286,0.657227,0.358398,0.137695
1708316593.285,0.657227,0.358398,0.137695
1708316594.285,0.657227,0.358398,0.137695
1708316595.286,0.604492,0.352051,0.136719
1708316596.285,0.604492,0.352051,0.136719
1708316597.286,0.604492,0.352051,0.136719
1708316598.285,0.604492,0.352051,0.136719
1708316599.286,0.604492,0.352051,0.136719
1708316600.285,0.555664,0.346191,0.135742
1708316601.286,0.555664,0.346191,0.135742
1708316602.285,0.555664,0.346191,0.135742
1708316603.285,0.555664,0.346191,0.135742
1708316604.286,0.555664,0.346191,0.135742
1708316605.286,0.510742,0.340332,0.134766
1708316606.286,0.510742,0.340332,0.134766
1708316607.285,0.510742,0.340332,0.134766
1708316608.286,0.510742,0.340332,0.134766
1708316609.286,0.510742,0.340332,0.134766
1708316610.285,0.469727,0.334473,0.133789
1708316611.285,0.469727,0.334473,0.133789
1708316612.286,0.469727,0.334473,0.133789
1708316613.285,0.469727,0.334473,0.133789
1708316614.285,0.469727,0.334473,0.133789
1708316615.287,0.431641,0.328613,0.132812
1708316616.285,0.431641,0.328613,0.132812
1708316617.285,0.431641,0.328613,0.132812
1708316618.285,0.431641,0.328613,0.132812
1708316619.287,0.431641,0.328613,0.132812
1708316620.285,0.396973,0.322754,0.131836
1708316621.285,0.396973,0.322754,0.131836
1708316622.287,0.396973,0.322754,0.131836
